season,City,date,Home Team,Away Team,Toss won by,Toss decision,winner,Target Runs
2009/10,Bangalore,10-04-2010,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Royal Challengers Bangalore,161
2009/10,Delhi,11-04-2010,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Punjab Kings,112
2009/10,Jaipur,11-04-2010,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Mumbai Indians,175
2009/10,Nagpur,12-04-2010,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,152
2009/10,Mumbai,13-04-2010,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Mumbai Indians,184
2009/10,Chennai,13-04-2010,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,140
2009/10,Jaipur,14-04-2010,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,131
2009/10,Chennai,15-04-2010,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Delhi Capitals,113
2009/10,Dharamsala,16-04-2010,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,175
2009/10,Bangalore,17-04-2010,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Mumbai Indians,192
2009/10,Kolkata,17-04-2010,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Kolkata Knight Riders,133
2009/10,Dharamsala,18-04-2010,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,193
2009/10,Delhi,18-04-2010,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,146
2009/10,Kolkata,19-04-2010,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Kolkata Knight Riders,134
2009/10,Mumbai,21-04-2010,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,185
2009/10,Mumbai,22-04-2010,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,143
2009/10,Mumbai,24-04-2010,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Royal Challengers Bangalore,83
2009/10,Mumbai,25-04-2010,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,169
2011,Chennai,08-04-2011,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings,154
2011,Hyderabad,09-04-2011,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,138
2011,Delhi,10-04-2011,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,96
2011,Kolkata,11-04-2011,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,164
2011,Jaipur,12-04-2011,Rajasthan Royals,Delhi Capitals,Delhi Capitals,bat,Rajasthan Royals,152
2011,Bangalore,12-04-2011,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,141
2011,Chandigarh,13-04-2011,Punjab Kings,Chennai Super Kings,Punjab Kings,field,Punjab Kings,189
2011,Hyderabad,14-04-2011,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,176
2011,Jaipur,15-04-2011,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,160
2011,Chennai,16-04-2011,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,184
