season,City,date,Home Team,Away Team,Toss won by,Toss decision,winner,Target Runs
2013,Hyderabad,04-05-2013,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,bat,Sunrisers Hyderabad,81
2013,Mumbai,05-05-2013,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,140
2013,Chandigarh,06-05-2013,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,field,Punjab Kings,191
2013,Jaipur,07-05-2013,Rajasthan Royals,Delhi Capitals,Delhi Capitals,bat,Rajasthan Royals,155
2013,Mumbai,07-05-2013,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,171
2013,Hyderabad,08-05-2013,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Chennai Super Kings,224
2013,Chandigarh,09-05-2013,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,146
2013,Delhi,10-05-2013,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,Royal Challengers Bangalore,184
2013,Chandigarh,11-05-2013,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,Sunrisers Hyderabad,151
2013,Ranchi,12-05-2013,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Kolkata Knight Riders,116
2013,Jaipur,12-05-2013,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Rajasthan Royals,142
2013,Mumbai,13-05-2013,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Mumbai Indians,179
2013,Bangalore,14-05-2013,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,Punjab Kings,175
2013,Chennai,14-05-2013,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings,169
2013,Mumbai,15-05-2013,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,167
2013,Dharamsala,16-05-2013,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Punjab Kings,172
2013,Hyderabad,17-05-2013,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,137
2013,Dharamsala,18-05-2013,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,184
2013,Bangalore,18-05-2013,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,107
2013,Hyderabad,19-05-2013,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,bat,Sunrisers Hyderabad,131
2013,Delhi,21-05-2013,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,193
2013,Delhi,22-05-2013,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Rajasthan Royals,133
2013,Kolkata,24-05-2013,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Mumbai Indians,166
2013,Kolkata,26-05-2013,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,149
2014,Abu Dhabi,16-04-2014,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,164
2014,Dubai,17-04-2014,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,146
2014,Abu Dhabi,18-04-2014,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Punjab Kings,206
2014,Abu Dhabi,18-04-2014,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,134
2014,Dubai,19-04-2014,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,116
2014,Dubai,19-04-2014,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Delhi Capitals,167
2014,Dubai,20-04-2014,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Punjab Kings,192
2014,Abu Dhabi,21-04-2014,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings,178
2014,Dubai,22-04-2014,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Punjab Kings,194
2014,Dubai,23-04-2014,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Chennai Super Kings,141
2014,Dubai,24-04-2014,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,151
2014,Dubai,25-04-2014,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,185
2014,Dubai,25-04-2014,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Chennai Super Kings,142
2014,Abu Dhabi,26-04-2014,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Rajasthan Royals,71
2014,Abu Dhabi,26-04-2014,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Punjab Kings,133
2014,Dubai,27-04-2014,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,Delhi Capitals,126
2014,Dubai,27-04-2014,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Chennai Super Kings,146
2014,Dubai,28-04-2014,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,field,Punjab Kings,125
2014,Abu Dhabi,29-04-2014,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,153
2014,Dubai,30-04-2014,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Sunrisers Hyderabad,173
2014,Ranchi,02-05-2014,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings,149
2014,Mumbai,03-05-2014,Mumbai Indians,Punjab Kings,Punjab Kings,bat,Mumbai Indians,169
2014,Delhi,03-05-2014,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,153
2014,Bangalore,04-05-2014,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,Royal Challengers Bangalore,156
2014,Ahmedabad,05-05-2014,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,171
2014,Delhi,05-05-2014,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,179
2014,Mumbai,06-05-2014,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians,188
2014,Delhi,07-05-2014,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Kolkata Knight Riders,161
2014,Cuttack,07-05-2014,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Punjab Kings,232
2014,Ahmedabad,08-05-2014,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,Sunrisers Hyderabad,135
2014,Bangalore,09-05-2014,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,field,Punjab Kings,199
2014,Delhi,10-05-2014,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,43
2014,Mumbai,10-05-2014,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,158
2014,Cuttack,11-05-2014,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,150
2014,Bangalore,11-05-2014,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Rajasthan Royals,191
2014,Hyderabad,12-05-2014,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Mumbai Indians,158
2014,Ranchi,13-05-2014,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Chennai Super Kings,149
2014,Bangalore,13-05-2014,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bangalore,187
2014,Hyderabad,14-05-2014,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Punjab Kings,206
2014,Cuttack,14-05-2014,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Kolkata Knight Riders,142
2014,Ahmedabad,15-05-2014,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Rajasthan Royals,202
2014,Ranchi,18-05-2014,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Royal Challengers Bangalore,139
2014,Hyderabad,18-05-2014,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,143
2014,Ahmedabad,19-05-2014,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,179
2014,Delhi,19-05-2014,Delhi Capitals,Punjab Kings,Punjab Kings,field,Punjab Kings,165
2014,Hyderabad,20-05-2014,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Sunrisers Hyderabad,161
2014,Kolkata,20-05-2014,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,155
2014,Chandigarh,21-05-2014,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,157
2014,Kolkata,22-05-2014,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,196
2014,Ranchi,22-05-2014,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,186
2014,Mumbai,23-05-2014,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,174
2014,Chandigarh,23-05-2014,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Punjab Kings,180
2014,Bangalore,24-05-2014,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,155
2014,Kolkata,24-05-2014,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Kolkata Knight Riders,161
2014,Chandigarh,25-05-2014,Punjab Kings,Delhi Capitals,Punjab Kings,field,Punjab Kings,116
2014,Mumbai,25-05-2014,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Mumbai Indians,190
2014,Kolkata,27-05-2014,Punjab Kings,Kolkata Knight Riders,Punjab Kings,field,Kolkata Knight Riders,164
2014,Mumbai,28-05-2014,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Chennai Super Kings,174
2014,Mumbai,30-05-2014,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,Punjab Kings,227
2014,Bangalore,01-06-2014,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,200
2015,Kolkata,08-04-2015,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Kolkata Knight Riders,169
2015,Chennai,09-04-2015,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,151
2015,Pune,10-04-2015,Punjab Kings,Rajasthan Royals,Punjab Kings,field,Rajasthan Royals,163
2015,Chennai,11-04-2015,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,210
2015,Kolkata,11-04-2015,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,178
2015,Delhi,12-04-2015,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,185
2015,Mumbai,12-04-2015,Mumbai Indians,Punjab Kings,Mumbai Indians,field,Punjab Kings,178
2015,Bangalore,13-04-2015,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,167
2015,Ahmedabad,14-04-2015,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,Rajasthan Royals,165
2015,Pune,15-04-2015,Punjab Kings,Delhi Capitals,Punjab Kings,bat,Delhi Capitals,166
2015,Visakhapatnam,16-04-2015,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,128
2015,Mumbai,17-04-2015,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Chennai Super Kings,184
2015,Visakhapatnam,18-04-2015,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,bat,Delhi Capitals,168
2015,Pune,18-04-2015,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,156
2015,Ahmedabad,19-04-2015,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Rajasthan Royals,157
2015,Bangalore,19-04-2015,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Mumbai Indians,210
2015,Delhi,20-04-2015,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,147
2015,Ahmedabad,21-04-2015,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Punjab Kings,192
2015,Visakhapatnam,22-04-2015,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,118
2015,Bangalore,22-04-2015,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,Chennai Super Kings,182
2015,Delhi,23-04-2015,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Delhi Capitals,191
2015,Ahmedabad,24-04-2015,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,131
2015,Mumbai,25-04-2015,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,158
2015,Chennai,25-04-2015,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Chennai Super Kings,193
2015,Delhi,26-04-2015,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,96
2015,Chandigarh,27-04-2015,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,Sunrisers Hyderabad,151
2015,Chennai,28-04-2015,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,135
2015,Kolkata,30-04-2015,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,166
2015,Delhi,01-05-2015,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Delhi Capitals,119
2015,Mumbai,01-05-2015,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,188
2015,Bangalore,02-05-2015,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Royal Challengers Bangalore,112
2015,Hyderabad,02-05-2015,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Sunrisers Hyderabad,193
2015,Chandigarh,03-05-2015,Punjab Kings,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,173
2015,Mumbai,03-05-2015,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Rajasthan Royals,190
2015,Chennai,04-05-2015,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,149
2015,Kolkata,04-05-2015,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,168
2015,Mumbai,05-05-2015,Mumbai Indians,Delhi Capitals,Delhi Capitals,bat,Mumbai Indians,153
2015,Bangalore,06-05-2015,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,Royal Challengers Bangalore,227
2015,Kolkata,07-05-2015,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Kolkata Knight Riders,172
2015,Mumbai,07-05-2015,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,Sunrisers Hyderabad,202
2015,Chennai,08-05-2015,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Mumbai Indians,159
2015,Kolkata,09-05-2015,Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,Kolkata Knight Riders,184
2015,Raipur,09-05-2015,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,164
2015,Mumbai,10-05-2015,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,236
2015,Chennai,10-05-2015,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings,158
2015,Hyderabad,11-05-2015,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,186
2015,Raipur,12-05-2015,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,bat,Delhi Capitals,120
2015,Chandigarh,13-05-2015,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Punjab Kings,107
2015,Mumbai,14-05-2015,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,172
2015,Hyderabad,15-05-2015,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,Royal Challengers Bangalore,81
2015,Chandigarh,16-05-2015,Punjab Kings,Chennai Super Kings,Punjab Kings,bat,Chennai Super Kings,131
2015,Mumbai,16-05-2015,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,200
2015,Hyderabad,17-05-2015,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Mumbai Indians,114
2015,Mumbai,19-05-2015,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,188
2015,Pune,20-05-2015,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,181
2015,Ranchi,22-05-2015,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Chennai Super Kings,140
2015,Kolkata,24-05-2015,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,203
2016,Kolkata,10-04-2016,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,Kolkata Knight Riders,99
2016,Chandigarh,11-04-2016,Punjab Kings,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,162
2016,Bangalore,12-04-2016,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,228
2016,Kolkata,13-04-2016,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,188
2016,Delhi,15-04-2016,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Delhi Capitals,112
2016,Hyderabad,16-04-2016,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,143
2016,Mumbai,16-04-2016,Mumbai Indians,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,144
2016,Bangalore,17-04-2016,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,192
2016,Hyderabad,18-04-2016,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Sunrisers Hyderabad,143
2016,Chandigarh,19-04-2016,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,139
2016,Mumbai,20-04-2016,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,Mumbai Indians,171
2016,Rajkot,21-04-2016,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,136
2016,Delhi,23-04-2016,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Delhi Capitals,165
2016,Hyderabad,23-04-2016,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,field,Sunrisers Hyderabad,144
2016,Rajkot,24-04-2016,Gujarat Titans,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Gujarat Titans,181
2016,Chandigarh,25-04-2016,Punjab Kings,Mumbai Indians,Punjab Kings,field,Mumbai Indians,190
2016,Delhi,27-04-2016,Delhi Capitals,Gujarat Titans,Delhi Capitals,field,Gujarat Titans,173
2016,Mumbai,28-04-2016,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,175
2016,Delhi,30-04-2016,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals,187
2016,Hyderabad,30-04-2016,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,195
2016,Rajkot,01-05-2016,Gujarat Titans,Punjab Kings,Gujarat Titans,field,Punjab Kings,155
2016,Bangalore,02-05-2016,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,186
2016,Rajkot,03-05-2016,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,150
2016,Kolkata,04-05-2016,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Kolkata Knight Riders,165
2016,Hyderabad,06-05-2016,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Sunrisers Hyderabad,127
2016,Chandigarh,07-05-2016,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Punjab Kings,182
2016,Visakhapatnam,08-05-2016,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Sunrisers Hyderabad,178
2016,Kolkata,08-05-2016,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,159
2016,Chandigarh,09-05-2016,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,field,Royal Challengers Bangalore,176
2016,Bangalore,11-05-2016,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,152
2016,Hyderabad,12-05-2016,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,147
2016,Visakhapatnam,13-05-2016,Mumbai Indians,Punjab Kings,Mumbai Indians,bat,Punjab Kings,125
2016,Bangalore,14-05-2016,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,field,Royal Challengers Bangalore,249
2016,Chandigarh,15-05-2016,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,bat,Sunrisers Hyderabad,180
2016,Visakhapatnam,15-05-2016,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,207
2016,Kolkata,16-05-2016,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,184
2016,Bangalore,18-05-2016,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,Royal Challengers Bangalore,203
2016,Kanpur,19-05-2016,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,field,Gujarat Titans,125
2016,Raipur,20-05-2016,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,Delhi Capitals,159
2016,Kanpur,21-05-2016,Gujarat Titans,Mumbai Indians,Gujarat Titans,field,Gujarat Titans,173
2016,Kolkata,22-05-2016,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,172
2016,Raipur,22-05-2016,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,139
2016,Bangalore,24-05-2016,Gujarat Titans,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,159
2016,Delhi,25-05-2016,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,163
2016,Delhi,27-05-2016,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,163
2016,Bangalore,29-05-2016,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,209
2017,Hyderabad,05-04-2017,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,208
2017,Rajkot,07-04-2017,Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,184
2017,Bengaluru,08-04-2017,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,158
2017,Hyderabad,09-04-2017,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Sunrisers Hyderabad,136
2017,Mumbai,09-04-2017,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,179
2017,Indore,10-04-2017,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Punjab Kings,149
2017,Mumbai,12-04-2017,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Mumbai Indians,159
2017,Kolkata,13-04-2017,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,171
2017,Bangalore,14-04-2017,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,143
2017,Kolkata,15-04-2017,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,173
2017,Delhi,15-04-2017,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Delhi Capitals,189
2017,Mumbai,16-04-2017,Mumbai Indians,Gujarat Titans,Mumbai Indians,field,Mumbai Indians,177
2017,Delhi,17-04-2017,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Kolkata Knight Riders,169
2017,Hyderabad,17-04-2017,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Sunrisers Hyderabad,160
2017,Rajkot,18-04-2017,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,field,Royal Challengers Bangalore,214
2017,Hyderabad,19-04-2017,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,192
2017,Indore,20-04-2017,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,199
2017,Kolkata,21-04-2017,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,188
2017,Mumbai,22-04-2017,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,143
2017,Rajkot,23-04-2017,Gujarat Titans,Punjab Kings,Gujarat Titans,field,Punjab Kings,189
2017,Kolkata,23-04-2017,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,132
2017,Bangalore,27-04-2017,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,135
2017,Kolkata,28-04-2017,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,Kolkata Knight Riders,161
2017,Chandigarh,28-04-2017,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,Sunrisers Hyderabad,208
2017,Rajkot,29-04-2017,Gujarat Titans,Mumbai Indians,Gujarat Titans,bat,Mumbai Indians,154
2017,Chandigarh,30-04-2017,Punjab Kings,Delhi Capitals,Punjab Kings,field,Punjab Kings,68
2017,Hyderabad,30-04-2017,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,210
2017,Mumbai,01-05-2017,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Mumbai Indians,163
2017,Delhi,02-05-2017,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,Delhi Capitals,186
2017,Delhi,04-05-2017,Delhi Capitals,Gujarat Titans,Delhi Capitals,field,Delhi Capitals,209
2017,Bangalore,05-05-2017,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,field,Punjab Kings,139
2017,Delhi,06-05-2017,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Mumbai Indians,213
2017,Bangalore,07-05-2017,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,159
2017,Chandigarh,07-05-2017,Punjab Kings,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,190
2017,Hyderabad,08-05-2017,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,bat,Sunrisers Hyderabad,139
2017,Chandigarh,09-05-2017,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Kings,168
